sample;start;latency
23;20:23:21.718;3021
1;20:23:03.812;3528
64;20:23:55.603;3549
2;20:23:03.939;3636
3;20:23:04.062;3711
4;20:23:04.192;3876
8;20:23:07.773;3939
20;20:23:17.802;4178
59;20:23:52.596;4413
55;20:23:49.316;4416
48;20:23:40.967;4848
7;20:23:05.688;5627
47;20:23:39.497;5978
5;20:23:04.313;6515
6;20:23:04.562;6528
22;20:23:17.292;7406
24;20:23:17.802;7422
44;20:23:34.655;7514
51;20:23:40.967;7762
32;20:23:24.740;9916
52;20:23:38.918;10155
28;20:23:18.258;10245
53;20:23:38.209;11106
29;20:23:17.293;11226
49;20:23:34.488;11566
58;20:23:44.270;11620
39;20:23:27.845;11652
9;20:23:05.437;11855
12;20:23:05.561;12240
41;20:23:28.519;12447
10;20:23:04.689;12603
43;20:23:28.503;12957
11;20:23:04.813;12988
50;20:23:34.655;13001
54;20:23:39.498;13096
14;20:23:05.063;13194
33;20:23:21.388;13267
30;20:23:21.194;13292
13;20:23:04.938;13318
63;20:23:45.476;13416
21;20:23:11.090;13535
36;20:23:24.626;13585
15;20:23:07.577;13616
37;20:23:25.268;13650
16;20:23:07.342;14045
45;20:23:27.990;14757
60;20:23:41.461;16070
35;20:23:21.982;16228
31;20:23:18.257;16229
42;20:23:24.699;16268
27;20:23:11.713;16276
17;20:23:05.313;16403
18;20:23:05.189;16527
26;20:23:11.315;16530
25;20:23:08.068;17198
19;20:23:04.438;17278
56;20:23:38.209;17392
38;20:23:21.719;17779
40;20:23:21.718;17780
62;20:23:39.497;18034
46;20:23:25.225;19045
61;20:23:38.210;19321
57;20:23:34.487;21114
